A,Ci,Qin,Tleaf,CurveID,FittingGroup
11.032213880226314,123.32092515801732,2000.003333333333,15.621266666666669,1,1
10.994171023820526,123.44798312694064,2000.01,15.6242,1,1
11.016931735824738,123.37178322053984,2000.005,15.62805,1,1
11.29857993932676,122.145372582531,2000.01,15.64,1,1
11.588139769886144,121.35476583133564,2000.0,15.64135,1,1
12.091372740285289,122.42677574998312,1999.9,15.6455,1,1
12.590703381947147,122.21288493406328,1999.91,15.64535,1,1
12.68553619927484,126.88102459435096,2000.01,15.6483,1,1
12.626634346568324,129.76912742801062,2000.015,15.6516,1,1
13.002805780282667,134.30728081606833,2000.03,15.6534,1,1
13.61568818598547,133.88255973681763,2000.075,15.65535,1,1
14.06652863615965,138.95338322974678,2000.04,15.6692,1,1
14.308765540225954,140.76683379661168,1999.99,15.6691,1,1
14.571216351845877,148.04063010492237,2000.02,15.667,1,1
14.997667937065112,149.06749123735608,2000.02,15.6716,1,1
15.42308945310133,155.1825890404506,2000.02,15.6741,1,1
15.676923266093754,157.1083463411469,2000.015,15.6697,1,1
16.096272729766767,164.1082188700244,2000.01,15.6561,1,1
16.68847808078294,164.5774060432115,2000.01,15.6526,1,1
16.874050770802295,172.47219816307748,2000.02,15.6514,1,1
16.77583675616807,176.03549291781084,2000.02,15.64915,1,1
17.157685396033365,182.4929742760716,2000.01,15.6388,1,1
17.852216371803276,182.38548663966745,2000.015,15.6395,1,1
18.099357209611004,189.8948111042585,2000.03,15.6454,1,1
18.438313033846764,191.16192183377535,2000.08,15.64385,1,1
19.23902060433949,196.16464742624208,2000.12,15.6345,1,1
19.79219513334628,196.92492463417764,2000.055,15.63525,1,1
19.98447220315949,204.96114602774676,1999.99,15.6465,1,1
20.257145676239332,206.6180145843593,1999.995,15.6542,1,1
20.601239097319105,214.18038030534623,2000.0,15.6645,1,1
20.927368523913746,216.141547919279,1999.995,15.66335,1,1
21.2805221941714,224.02358369609976,2000.0,15.6722,1,1
21.600774063050945,225.78331127517868,2000.0,15.6743,1,1
21.862238286153413,233.82453761136225,1999.99,15.6739,1,1
22.033652868904927,235.97480999064072,1999.995,15.67315,1,1
22.3514085297944,243.4149238282152,2000.0,15.6817,1,1
22.813113790078734,244.03847394557073,2000.0,15.6871,1,1
23.193536552846037,251.12545677057076,2000.0,15.7005,1,1
23.215254585294293,253.86690255998997,2000.0,15.69985,1,1
23.26096343738816,263.0345825325356,2000.0,15.6913,1,1
23.714771325396775,263.75136596060486,1999.995,15.69595,1,1
24.19148457801661,269.9655736072836,2000.0,15.7153,1,1
24.228226769265746,272.42439849408817,2000.005,15.7212,1,1
24.246399572631685,279.817487297742,2000.01,15.7342,1,1
24.695960264625427,280.38110755389073,2000.01,15.7336,1,1
24.98019877445183,287.686031049862,2000.0,15.7418,1,1
25.067462437458488,289.7999292155287,2000.0,15.74455,1,1
25.39325786211526,295.78451078877544,2000.0,15.7482,1,1
25.692793847907023,294.9382141650833,2000.0,15.75125,1,1
25.84964216608303,300.489836605756,2000.0,15.7532,1,1
26.098899348145583,299.8749664637077,2000.0,15.7546,1,1
26.40838589124281,305.2919883261574,2000.0,15.7631,1,1
26.63502315904721,306.1564537013923,2000.0,15.7625,1,1
26.525909438127854,315.3523967463749,2000.0,15.7513,1,1
26.33927508817196,319.13779249054005,2000.0,15.75045,1,1
26.6817959469943,326.1923300218784,2000.01,15.7523,1,1
27.11661636751929,326.34747052733513,2000.005,15.7531,1,1
27.15642862440615,334.41323444753436,1999.99,15.7545,1,1
27.30765210649019,335.1488993775028,2000.0,15.7546,1,1
27.741627543704368,339.8887677387848,2000.02,15.76,1,1
28.00412555006113,339.8304045265079,2000.02,15.75845,1,1
27.82618595793804,349.04026261545084,2000.01,15.7573,1,1
27.6154328630085,351.99520371641614,2000.0,15.7591,1,1
27.791481563418635,358.56561863735465,1999.98,15.7645,1,1
28.14053593182925,357.9648041680922,1999.99,15.76525,1,1
28.511769440093676,363.1700628576291,2000.01,15.7625,1,1
28.65494216893949,363.9622712965809,2000.005,15.7614,1,1
28.50969658835317,373.0276771631625,2000.0,15.7573,1,1
28.672134058921426,373.7945279903444,2000.0,15.753150000000002,1,1
29.06401097470612,379.3597828450059,1999.99,15.7439,1,1
29.28789020537879,379.6694964293381,1999.995,15.74565,1,1
29.380835051589553,387.76699090040034,2000.0,15.7393,1,1
29.372657910532613,390.09164634946376,2000.0,15.7342,1,1
29.319875019101623,399.4332792341464,1999.99,15.7298,1,1
29.361428186110427,401.64751343543816,1999.99,15.72655,1,1
29.42449019624934,410.88237437710495,2000.0,15.7043,1,1
29.482357903374428,413.23513037360266,2000.005,15.70365,1,1
29.3188677702475,423.9799181018152,2000.0,15.7141,1,1
29.264982259501615,427.2520900305624,2000.0,15.716,1,1
29.575669507122814,434.4350366746349,2000.01,15.7179,1,1
29.818680657069244,435.27735895009533,2000.0,15.71505,1,1
29.885135198236934,444.15727060285315,1999.99,15.7095,1,1
29.885500228925036,446.989505179267,1999.99,15.70965,1,1
29.861729884731194,457.62894407008673,2000.0,15.7061,1,1
29.646276084948425,462.6205919002754,2000.0,15.70615,1,1
29.44603022250878,473.7765827364462,2000.0,15.7061,1,1
29.291700978718666,477.6616766709368,2000.0,15.70425,1,1
29.203821208644417,487.946931201283,1999.99,15.7066,1,1
29.411915018914183,489.895194232197,1999.99,15.7095,1,1
29.68992022785283,497.4286423055836,2000.01,15.7074,1,1
29.86456872012935,498.43495022904233,2000.01,15.70515,1,1
29.815360388424622,506.9831723323789,1999.98,15.7098,1,1
